8,,src/prelude_lower.isle line 332,
5,,src/prelude_lower.isle line 319,
,,,call i64 i64 i64 ->
749,,src/isa/aarch64/lower.isle line 2215,
,,,iconst -> i64
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
819,,src/isa/aarch64/lower.isle line 2649,
28,,src/prelude_lower.isle line 522,
256,,src/isa/aarch64/inst.isle line 3526,
125,,src/isa/aarch64/inst.isle line 2464,
389,,src/isa/aarch64/inst.isle line 4631,
29,,src/prelude_lower.isle line 533,
5,,src/prelude_lower.isle line 319,
,,,bxor i8 i8 -> i8
587,bxor_fits_in_32,src/isa/aarch64/lower.isle line 1119,
264,,src/isa/aarch64/inst.isle line 3608,
72,,src/isa/aarch64/inst.isle line 2003,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
0,output_reg,src/prelude_lower.isle line 61,
,,,icmp i8 i8 -> i8
678,icmp_8_16_32_64,src/isa/aarch64/lower.isle line 1852,
353,lower_icmp_into_reg_8_16_32_64,src/isa/aarch64/inst.isle line 4379,
354,lower_icmp_8_16_signed,src/isa/aarch64/inst.isle line 4384,
248,,src/isa/aarch64/inst.isle line 3488,
125,,src/isa/aarch64/inst.isle line 2464,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
349,,src/isa/aarch64/inst.isle line 4373,
100,,src/isa/aarch64/inst.isle line 2243,
343,,src/isa/aarch64/inst.isle line 4203,
344,,src/isa/aarch64/inst.isle line 4233,
95,,src/isa/aarch64/inst.isle line 2169,
21,,src/prelude_lower.isle line 443,
,,,icmp i8 i8 -> i8
678,icmp_8_16_32_64,src/isa/aarch64/lower.isle line 1852,
353,lower_icmp_into_reg_8_16_32_64,src/isa/aarch64/inst.isle line 4379,
354,lower_icmp_8_16_signed,src/isa/aarch64/inst.isle line 4384,
248,,src/isa/aarch64/inst.isle line 3488,
125,,src/isa/aarch64/inst.isle line 2464,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
,,,iconst -> i8
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
349,,src/isa/aarch64/inst.isle line 4373,
100,,src/isa/aarch64/inst.isle line 2243,
343,,src/isa/aarch64/inst.isle line 4203,
344,,src/isa/aarch64/inst.isle line 4233,
95,,src/isa/aarch64/inst.isle line 2169,
21,,src/prelude_lower.isle line 443,
,,,iadd i8 i8 -> i8
400,iadd_base_case,src/isa/aarch64/lower.isle line 49,
139,,src/isa/aarch64/inst.isle line 2583,
72,,src/isa/aarch64/inst.isle line 2003,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
0,output_reg,src/prelude_lower.isle line 61,
822,,src/isa/aarch64/lower.isle line 2682,
387,,src/isa/aarch64/inst.isle line 4601,
5,,src/prelude_lower.isle line 319,
,,,return i64 ->
751,,src/isa/aarch64/lower.isle line 2224,
34,,src/prelude_lower.isle line 733,
,,,trap ->
679,,src/isa/aarch64/lower.isle line 1857,
223,,src/isa/aarch64/inst.isle line 3317,
8,,src/prelude_lower.isle line 332,
5,,src/prelude_lower.isle line 319,
,,,call i64 i64 i64 ->
749,,src/isa/aarch64/lower.isle line 2215,
,,,iconst -> i64
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
814,,src/isa/aarch64/lower.isle line 2596,
347,,src/isa/aarch64/inst.isle line 4348,
358,lower_icmp_32_64,src/isa/aarch64/inst.isle line 4397,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
97,,src/isa/aarch64/inst.isle line 2193,
343,,src/isa/aarch64/inst.isle line 4203,
346,,src/isa/aarch64/inst.isle line 4242,
345,,src/isa/aarch64/inst.isle line 4238,
389,,src/isa/aarch64/inst.isle line 4631,
31,,src/prelude_lower.isle line 543,
6,,src/prelude_lower.isle line 321,
,,,iadd i64 i64 -> i64
400,iadd_base_case,src/isa/aarch64/lower.isle line 49,
139,,src/isa/aarch64/inst.isle line 2583,
72,,src/isa/aarch64/inst.isle line 2003,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
0,output_reg,src/prelude_lower.isle line 61,
822,,src/isa/aarch64/lower.isle line 2682,
387,,src/isa/aarch64/inst.isle line 4601,
5,,src/prelude_lower.isle line 319,
,,,return i64 ->
751,,src/isa/aarch64/lower.isle line 2224,
34,,src/prelude_lower.isle line 733,
,,,trap ->
679,,src/isa/aarch64/lower.isle line 1857,
223,,src/isa/aarch64/inst.isle line 3317,
8,,src/prelude_lower.isle line 332,
5,,src/prelude_lower.isle line 319,
,,,call i64 i64 i64 ->
749,,src/isa/aarch64/lower.isle line 2215,
,,,iconst -> i64
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
814,,src/isa/aarch64/lower.isle line 2596,
347,,src/isa/aarch64/inst.isle line 4348,
358,lower_icmp_32_64,src/isa/aarch64/inst.isle line 4397,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
97,,src/isa/aarch64/inst.isle line 2193,
343,,src/isa/aarch64/inst.isle line 4203,
346,,src/isa/aarch64/inst.isle line 4242,
345,,src/isa/aarch64/inst.isle line 4238,
389,,src/isa/aarch64/inst.isle line 4631,
31,,src/prelude_lower.isle line 543,
6,,src/prelude_lower.isle line 321,
,,,isub i64 i64 -> i64
508,isub_base_case,src/isa/aarch64/lower.isle line 526,
145,,src/isa/aarch64/inst.isle line 2657,
72,,src/isa/aarch64/inst.isle line 2003,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
0,output_reg,src/prelude_lower.isle line 61,
822,,src/isa/aarch64/lower.isle line 2682,
387,,src/isa/aarch64/inst.isle line 4601,
5,,src/prelude_lower.isle line 319,
,,,return i8 ->
751,,src/isa/aarch64/lower.isle line 2224,
34,,src/prelude_lower.isle line 733,
,,,trap ->
679,,src/isa/aarch64/lower.isle line 1857,
223,,src/isa/aarch64/inst.isle line 3317,
8,,src/prelude_lower.isle line 332,
5,,src/prelude_lower.isle line 319,
,,,call i64 i64 i64 ->
749,,src/isa/aarch64/lower.isle line 2215,
,,,iconst -> i64
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
814,,src/isa/aarch64/lower.isle line 2596,
347,,src/isa/aarch64/inst.isle line 4348,
356,lower_icmp_8_16_unsigned,src/isa/aarch64/inst.isle line 4391,
251,,src/isa/aarch64/inst.isle line 3505,
125,,src/isa/aarch64/inst.isle line 2464,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
351,,src/isa/aarch64/inst.isle line 4375,
100,,src/isa/aarch64/inst.isle line 2243,
343,,src/isa/aarch64/inst.isle line 4203,
346,,src/isa/aarch64/inst.isle line 4242,
345,,src/isa/aarch64/inst.isle line 4238,
389,,src/isa/aarch64/inst.isle line 4631,
31,,src/prelude_lower.isle line 543,
6,,src/prelude_lower.isle line 321,
,,,isub i8 i8 -> i8
508,isub_base_case,src/isa/aarch64/lower.isle line 526,
145,,src/isa/aarch64/inst.isle line 2657,
72,,src/isa/aarch64/inst.isle line 2003,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
0,output_reg,src/prelude_lower.isle line 61,
822,,src/isa/aarch64/lower.isle line 2682,
387,,src/isa/aarch64/inst.isle line 4601,
5,,src/prelude_lower.isle line 319,
,,,return i8 ->
751,,src/isa/aarch64/lower.isle line 2224,
34,,src/prelude_lower.isle line 733,
,,,trap ->
679,,src/isa/aarch64/lower.isle line 1857,
223,,src/isa/aarch64/inst.isle line 3317,
8,,src/prelude_lower.isle line 332,
5,,src/prelude_lower.isle line 319,
,,,call i64 i64 i64 ->
749,,src/isa/aarch64/lower.isle line 2215,
,,,iconst -> i64
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
819,,src/isa/aarch64/lower.isle line 2649,
28,,src/prelude_lower.isle line 522,
256,,src/isa/aarch64/inst.isle line 3526,
125,,src/isa/aarch64/inst.isle line 2464,
389,,src/isa/aarch64/inst.isle line 4631,
29,,src/prelude_lower.isle line 533,
5,,src/prelude_lower.isle line 319,
,,,bxor i8 i8 -> i8
587,bxor_fits_in_32,src/isa/aarch64/lower.isle line 1119,
264,,src/isa/aarch64/inst.isle line 3608,
72,,src/isa/aarch64/inst.isle line 2003,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
0,output_reg,src/prelude_lower.isle line 61,
,,,icmp i8 i8 -> i8
678,icmp_8_16_32_64,src/isa/aarch64/lower.isle line 1852,
353,lower_icmp_into_reg_8_16_32_64,src/isa/aarch64/inst.isle line 4379,
354,lower_icmp_8_16_signed,src/isa/aarch64/inst.isle line 4384,
248,,src/isa/aarch64/inst.isle line 3488,
125,,src/isa/aarch64/inst.isle line 2464,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
349,,src/isa/aarch64/inst.isle line 4373,
100,,src/isa/aarch64/inst.isle line 2243,
343,,src/isa/aarch64/inst.isle line 4203,
344,,src/isa/aarch64/inst.isle line 4233,
95,,src/isa/aarch64/inst.isle line 2169,
21,,src/prelude_lower.isle line 443,
,,,icmp i8 i8 -> i8
678,icmp_8_16_32_64,src/isa/aarch64/lower.isle line 1852,
353,lower_icmp_into_reg_8_16_32_64,src/isa/aarch64/inst.isle line 4379,
354,lower_icmp_8_16_signed,src/isa/aarch64/inst.isle line 4384,
248,,src/isa/aarch64/inst.isle line 3488,
125,,src/isa/aarch64/inst.isle line 2464,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
,,,iconst -> i8
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
349,,src/isa/aarch64/inst.isle line 4373,
100,,src/isa/aarch64/inst.isle line 2243,
343,,src/isa/aarch64/inst.isle line 4203,
344,,src/isa/aarch64/inst.isle line 4233,
95,,src/isa/aarch64/inst.isle line 2169,
21,,src/prelude_lower.isle line 443,
,,,isub i8 i8 -> i8
508,isub_base_case,src/isa/aarch64/lower.isle line 526,
145,,src/isa/aarch64/inst.isle line 2657,
72,,src/isa/aarch64/inst.isle line 2003,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
0,output_reg,src/prelude_lower.isle line 61,
822,,src/isa/aarch64/lower.isle line 2682,
387,,src/isa/aarch64/inst.isle line 4601,
5,,src/prelude_lower.isle line 319,
,,,return i16 ->
751,,src/isa/aarch64/lower.isle line 2224,
34,,src/prelude_lower.isle line 733,
,,,trap ->
679,,src/isa/aarch64/lower.isle line 1857,
223,,src/isa/aarch64/inst.isle line 3317,
8,,src/prelude_lower.isle line 332,
5,,src/prelude_lower.isle line 319,
,,,call i64 i64 i64 ->
749,,src/isa/aarch64/lower.isle line 2215,
,,,iconst -> i64
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
819,,src/isa/aarch64/lower.isle line 2649,
28,,src/prelude_lower.isle line 522,
256,,src/isa/aarch64/inst.isle line 3526,
125,,src/isa/aarch64/inst.isle line 2464,
389,,src/isa/aarch64/inst.isle line 4631,
29,,src/prelude_lower.isle line 533,
5,,src/prelude_lower.isle line 319,
,,,bxor i8 i8 -> i8
587,bxor_fits_in_32,src/isa/aarch64/lower.isle line 1119,
264,,src/isa/aarch64/inst.isle line 3608,
72,,src/isa/aarch64/inst.isle line 2003,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
0,output_reg,src/prelude_lower.isle line 61,
,,,icmp i16 i16 -> i8
678,icmp_8_16_32_64,src/isa/aarch64/lower.isle line 1852,
353,lower_icmp_into_reg_8_16_32_64,src/isa/aarch64/inst.isle line 4379,
354,lower_icmp_8_16_signed,src/isa/aarch64/inst.isle line 4384,
248,,src/isa/aarch64/inst.isle line 3488,
125,,src/isa/aarch64/inst.isle line 2464,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
350,,src/isa/aarch64/inst.isle line 4374,
100,,src/isa/aarch64/inst.isle line 2243,
343,,src/isa/aarch64/inst.isle line 4203,
344,,src/isa/aarch64/inst.isle line 4233,
95,,src/isa/aarch64/inst.isle line 2169,
21,,src/prelude_lower.isle line 443,
,,,icmp i16 i16 -> i8
678,icmp_8_16_32_64,src/isa/aarch64/lower.isle line 1852,
353,lower_icmp_into_reg_8_16_32_64,src/isa/aarch64/inst.isle line 4379,
354,lower_icmp_8_16_signed,src/isa/aarch64/inst.isle line 4384,
248,,src/isa/aarch64/inst.isle line 3488,
125,,src/isa/aarch64/inst.isle line 2464,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
,,,iconst -> i16
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
350,,src/isa/aarch64/inst.isle line 4374,
100,,src/isa/aarch64/inst.isle line 2243,
343,,src/isa/aarch64/inst.isle line 4203,
344,,src/isa/aarch64/inst.isle line 4233,
95,,src/isa/aarch64/inst.isle line 2169,
21,,src/prelude_lower.isle line 443,
,,,isub i16 i16 -> i16
508,isub_base_case,src/isa/aarch64/lower.isle line 526,
145,,src/isa/aarch64/inst.isle line 2657,
72,,src/isa/aarch64/inst.isle line 2003,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
0,output_reg,src/prelude_lower.isle line 61,
822,,src/isa/aarch64/lower.isle line 2682,
387,,src/isa/aarch64/inst.isle line 4601,
5,,src/prelude_lower.isle line 319,
,,,return i64 ->
751,,src/isa/aarch64/lower.isle line 2224,
34,,src/prelude_lower.isle line 733,
,,,urem i64 i64 -> i64
549,urem,src/isa/aarch64/lower.isle line 887,
257,,src/isa/aarch64/inst.isle line 3530,
543,,src/isa/aarch64/lower.isle line 810,
257,,src/isa/aarch64/inst.isle line 3530,
258,,src/isa/aarch64/inst.isle line 3535,
196,,src/isa/aarch64/inst.isle line 3054,
72,,src/isa/aarch64/inst.isle line 2003,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
152,,src/isa/aarch64/inst.isle line 2761,
90,,src/isa/aarch64/inst.isle line 2130,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
0,output_reg,src/prelude_lower.isle line 61,
,,,trap ->
679,,src/isa/aarch64/lower.isle line 1857,
223,,src/isa/aarch64/inst.isle line 3317,
8,,src/prelude_lower.isle line 332,
5,,src/prelude_lower.isle line 319,
,,,call i64 i64 i64 ->
749,,src/isa/aarch64/lower.isle line 2215,
,,,iconst -> i64
395,iconst,src/isa/aarch64/lower.isle line 21,
244,,src/isa/aarch64/inst.isle line 3456,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
68,,src/isa/aarch64/inst.isle line 1923,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
,,,symbol_value -> i64
745,,src/isa/aarch64/lower.isle line 2199,
274,,src/isa/aarch64/inst.isle line 3675,
0,output_reg,src/prelude_lower.isle line 61,
814,,src/isa/aarch64/lower.isle line 2596,
347,,src/isa/aarch64/inst.isle line 4348,
357,lower_icmp_32_64_const,src/isa/aarch64/inst.isle line 4394,
361,lower_icmp_const_32_64_imm,src/isa/aarch64/inst.isle line 4418,
36,operand_size_64,src/isa/aarch64/inst.isle line 1223,
98,,src/isa/aarch64/inst.isle line 2210,
343,,src/isa/aarch64/inst.isle line 4203,
346,,src/isa/aarch64/inst.isle line 4242,
345,,src/isa/aarch64/inst.isle line 4238,
389,,src/isa/aarch64/inst.isle line 4631,
31,,src/prelude_lower.isle line 543,
6,,src/prelude_lower.isle line 321,
822,,src/isa/aarch64/lower.isle line 2682,
387,,src/isa/aarch64/inst.isle line 4601,
5,,src/prelude_lower.isle line 319,
,,,return i8 ->
751,,src/isa/aarch64/lower.isle line 2224,
34,,src/prelude_lower.isle line 733,
,,,bor i8 i8 -> i8
583,bor_fits_in_32,src/isa/aarch64/lower.isle line 1106,
264,,src/isa/aarch64/inst.isle line 3608,
72,,src/isa/aarch64/inst.isle line 2003,
35,operand_size_32,src/isa/aarch64/inst.isle line 1222,
0,output_reg,src/prelude_lower.isle line 61,
822,,src/isa/aarch64/lower.isle line 2682,
387,,src/isa/aarch64/inst.isle line 4601,
5,,src/prelude_lower.isle line 319,
,,,return i8 ->
751,,src/isa/aarch64/lower.isle line 2224,
34,,src/prelude_lower.isle line 733,
